,x_coord_earth,y_coord_earth,Y_new,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
0,-118.55020485045588,32.27658790368312,-0.804669200119527,1.0633436178581461,0.4893740147775947,1.44912601420175,-0.11228500532446044,1.3966630002785787,-0.5437012570078518,0.9514309024034943,1.0208487169234297,2.3592409842607864,2.2949474932589973,0.014192028,0.021995174,-0.024043595,-0.021442881,0.145953276,-0.119799951,0.11560915599999999,-0.149030898,0.016453333,-0.272593155
1,-118.48092195211149,32.27658790368312,0.02909567770299143,0.512989309122118,0.9229721015036926,1.3656109907783807,1.4714832070070447,1.3017859322270555,1.1361646057346677,0.5574892285471933,0.003033896860893401,1.8517557480728273,-0.5159149621283767,0.020002438,0.030598574,-0.030569983999999998,-0.027862136000000003,0.21006447,-0.179896572,0.18216305100000002,-0.191740002,0.02207746,-0.35663781200000005
2,-118.44628050293929,32.27658790368312,0.061968576116504304,-1.272039675324084,1.0237637501758858,-0.4420955421837538,-0.21801593934568678,0.979579436997444,0.6536639006921051,-0.7053847489086592,0.33297914263132744,1.4426771993623329,-1.740999068453922,0.02295274,0.034831466,-0.032865936,-0.030408192,0.243087587,-0.212165133,0.218837913,-0.207374095,0.024364827999999998,-0.386866362
3,-118.2903939816644,32.27658790368312,-0.669301291673652,0.4204916609287304,1.2687939751125061,-0.3708990439437165,1.6799903854927953,-1.6768406360116224,-0.09078965890844064,0.4349726859112319,1.7504052456327523,-0.7460151709427687,-0.38209432966693974,0.036706717,0.053111978,-0.033901703,-0.035642585,0.39175066299999994,-0.36187384200000006,0.38700332,-0.22280862699999998,0.028314153999999998,-0.39635448
4,-118.2557525324922,32.27658790368312,-0.20406454091739773,-0.3968135884899748,0.8538411068546405,-0.11252398565621859,0.7704963824898177,0.20268385002447348,1.1663826387685887,-0.8360009705914497,-1.8650593502694697,-0.29235132924997936,0.3561088808142787,0.03988692,0.056966914,-0.03192966,-0.035368285,0.42288203,-0.392885191,0.419614087,-0.214052464,0.027615182999999998,-0.370503742
5,-118.1691489095617,32.27658790368312,-0.02268440848426645,-0.3507377184449798,-0.6977805235188596,-0.10097852228870065,-0.7579220270237865,-0.5323356978321363,-0.5536777776847672,-1.3527570951827643,-1.5379441904709432,0.6239796882336955,-0.1393427833998582,0.048063497000000004,0.066206136,-0.023440724,-0.032448057,0.49365368200000004,-0.46032363600000004,0.48363500299999995,-0.176072366,0.023606645,-0.274638582
6,-118.047903837459,32.27658790368312,0.18798002250101692,-0.014255569915715341,-0.10089002906286405,0.2741018866956193,-0.4508565143837645,1.2297978505899128,0.6219318856347524,0.1258941637005867,-1.4625077444731909,0.3144996376990042,0.4041908124574896,0.060100975,0.078054691,-0.003378215,-0.023459182999999998,0.567984342,-0.519208135,0.517015655,-0.09894182,0.01454263,-0.118812721
7,-117.9786209391146,32.27658790368312,0.7730716885197597,-0.02054761540582528,-1.13714145876209,-0.8561350253912413,-1.663656483685872,0.09483971674808156,-1.3714927816264306,-0.44404250777451615,0.2537069230397894,0.8803556977804793,-2.0188816514894525,0.067311316,0.08418437699999999,0.011970324,-0.016160907,0.5936665329999999,-0.529536285,0.502636451,-0.053467424000000006,0.00915622,-0.051693694000000005
8,-117.9613002145285,32.27658790368312,-0.7327531579872218,-0.3560572842266071,-0.9718208647534299,0.6278582160433102,0.22141608865210696,-0.7901818302755556,1.4740634647980169,1.752566815337229,1.0612771372467464,0.22437876711152432,0.5852691859541148,0.069153071,0.085638399,0.016202421,-0.014133597,0.597944093,-0.529267384,0.495295398,-0.042970623,0.007929376,-0.03940937
9,-117.94397948994241,32.27658790368312,-0.49527425940191855,-0.6650654229725246,0.10054376299140713,0.5771478295195887,-0.9056275701616274,-1.2900387277460474,-0.0802648122080569,-0.26841987993520516,-0.16473411015831957,-1.3173904045828326,0.040735736140712964,0.071010719,0.087060038,0.020581636,-0.012034784,0.601334049,-0.527851438,0.48652665100000003,-0.033020872,0.006774983,-0.029027582000000003
