,AreaKey,Latitude,Longitud,TotPop90,PctRural,PctBach,PctEld,PctFB,PctPov,PctBlack,TotPop90_CTD,PctRural_CTD,PctBach_CTD,PctEld_CTD,PctFB_CTD,PctPov_CTD,PctBlack_CTD,ID,X,Y
0,13001,31.75339,-82.28558,15744,75.6,8.2,11.43,0.64,19.9,20.76,-0.299753237,0.200641,-0.483734,-0.101141,-0.398517,0.077328,-0.382806,133,941396.6,3521764
1,13003,31.29486,-82.87474,6213,100,6.4,11.77,1.58,26,26.86,-0.414033461,1.103876,-0.800686,0.009563,0.364222,0.920977,-0.030765,158,895553,3471916
2,13005,31.55678,-82.45115,9566,61.7,6.6,11.11,0.27,24.1,15.42,-0.373829747,-0.313906,-0.76547,-0.205334,-0.698744,0.658201,-0.690986,146,930946.4,3502787
3,13007,31.33084,-84.45401,3615,100,9.4,13.17,0.11,24.8,51.67,-0.445184444,1.103876,-0.272433,0.465406,-0.828572,0.755013,1.40106,155,745398.6,3474765
4,13009,33.07193,-83.25085,39530,42.7,13.3,8.64,1.43,17.5,42.39,-0.014550277,-1.017245,0.414297,-1.00957,0.242509,-0.2546,0.865496,79,849431.3,3665553
5,13011,34.3527,-83.50054,10308,100,6.4,11.37,0.34,15.1,3.49,-0.364932892,1.103876,-0.800686,-0.120677,-0.641944,-0.586527,-1.379485,23,819317.3,3807616
6,13013,33.99347,-83.71181,29721,64.6,9.2,10.63,0.92,14.7,11.44,-0.132163824,-0.206555,-0.30765,-0.361623,-0.171318,-0.641848,-0.920678,33,803747.1,3769623
7,13015,34.2384,-84.83918,55911,75.2,9,9.66,0.82,10.7,9.21,0.181863987,0.185834,-0.342867,-0.677456,-0.25246,-1.195061,-1.049375,24,699011.5,3793408
8,13017,31.7594,-83.21976,16245,47,7.6,12.81,0.33,22,31.33,-0.293746061,-0.858068,-0.589385,0.348189,-0.650058,0.367765,0.227206,138,863020.8,3520432
9,13019,31.27424,-83.23179,14153,66.2,7.5,11.98,1.19,19.3,11.62,-0.318829917,-0.147326,-0.606993,0.07794,0.047767,-0.005654,-0.91029,153,859915.8,3466377
10,13021,32.80451,-83.69915,149967,16.1,17,12.23,1.06,19.2,41.68,1.309630301,-2.001919,1.06581,0.15934,-0.057718,-0.019484,0.824521,85,809736.9,3636468
11,13023,32.43552,-83.33121,10430,57.9,10.3,12.6,0.64,18.3,22.36,-0.363470067,-0.454574,-0.113957,0.279813,-0.398517,-0.143957,-0.290467,100,844270.1,3595691
12,13025,31.19702,-81.98323,11077,100,5.8,9.02,0.33,18.2,4.58,-0.355712297,1.103876,-0.906337,-0.885841,-0.650058,-0.157787,-1.316579,159,979288.9,3463849
13,13027,30.84653,-83.57726,15398,65.6,9.1,13.68,1.76,25.9,41.47,-0.303901905,-0.169537,-0.325258,0.631462,0.510279,0.907147,0.812401,169,827822,3421638
14,13029,32.02037,-81.43763,15438,80.6,11.8,7.22,0.45,13.2,14.85,-0.30342229,0.38573,0.15017,-1.471924,-0.552687,-0.849303,-0.723881,118,1023145,3554982
15,13031,32.39071,-81.74391,43125,63.2,19.9,9.56,1.16,27.5,25.95,0.028555106,-0.25838,1.576455,-0.710016,0.023424,1.128432,-0.083283,97,994903.4,3600493
16,13033,33.05837,-81.99939,20579,72.3,9.6,10.6,0.43,30.3,52.19,-0.241779794,0.078482,-0.237216,-0.371391,-0.568916,1.515681,1.43107,71,971593.8,3671394
17,13035,33.28834,-83.95713,15326,73.4,7.2,10.41,0.72,15.6,35.48,-0.304765212,0.119202,-0.659819,-0.433255,-0.333603,-0.517376,0.466709,65,782448.2,3684504
